rawTime,title,tent,near,time,endTime,
17,Guy DeRose & Phil McAuliffe (Classic Rock),clover-theater-cafe,FALSE,2024-08-08T21:00:00.000Z,,
18,4-H Club T-Shirt Contest & Show,clover-theater-cafe,FALSE,2024-08-08T22:00:00.000Z,,
19,Sarah Abbot & Ethan (Contemporary),clover-theater-cafe,FALSE,2024-08-08T23:00:00.000Z,,
20,Jamestown Duo (Pop),clover-theater-cafe,FALSE,2024-08-09T00:00:00.000Z,,
FRIDAY,-,-,,2024-08-09T00:00:00.000Z,,
9,Archery Competition,ted-blum-center,FALSE,2024-08-09T13:00:00.000Z,,
10-22,Archery Inflatable,archery,FALSE,2024-08-09T14:00:00.000Z,2024-08-10T02:00:00.000Z,
10-22,Bee Ball Roll Game,garden-bees,FALSE,2024-08-09T14:00:00.000Z,2024-08-10T02:00:00.000Z,
10-22,Garden Dancing Dolls,garden-bees,FALSE,2024-08-09T14:00:00.000Z,2024-08-10T02:00:00.000Z,
10,4-H Animal Costume Contest,show,FALSE,2024-08-09T14:00:00.000Z,,
10,Storytelling,sheep,FALSE,2024-08-09T14:00:00.000Z,,
10:30,PREP/Cloverbud,dog-show,FALSE,2024-08-09T14:30:00.000Z,,
10:45,Meet and Greet 4-H Animals,show,FALSE,2024-08-09T14:45:00.000Z,,
11,Butter Making Demo,somerset-county-government,FALSE,2024-08-09T15:00:00.000Z,,
11,Puzzle & Macro Photos,arts-sciences,FALSE,2024-08-09T15:00:00.000Z,,
11,Listen to a Goat's Heartbeat,goats,FALSE,2024-08-09T15:00:00.000Z,,
11,Bug Puppet Show,board-of-ag,FALSE,2024-08-09T15:00:00.000Z,,
11,Flying Demos,flying-field,FALSE,2024-08-09T15:00:00.000Z,,
18,Flying Demos,flying-field,FALSE,2024-08-09T22:00:00.000Z,,
11,Happy Sox Cat Toys,arts-sciences,FALSE,2024-08-09T15:00:00.000Z,,
16,Happy Sox Cat Toys,arts-sciences,FALSE,2024-08-09T20:00:00.000Z,,
11:30,Obedience,dog-show,FALSE,2024-08-09T15:30:00.000Z,,
11:45,Rythm & Rhyme Storytime,somerset-county-government,FALSE,2024-08-09T15:45:00.000Z,,
12,Costume Class,small-animals,FALSE,2024-08-09T16:00:00.000Z,,
12:15,Agriculture Olympics,show,FALSE,2024-08-09T16:15:00.000Z,,
13,Pipe Cleaner Activity,small-animals,FALSE,2024-08-09T17:00:00.000Z,,
13,Beginner Obedience,dog-show,FALSE,2024-08-09T17:00:00.000Z,,
13,Name That Food,arts-sciences,FALSE,2024-08-09T17:00:00.000Z,,
13,Button Making,somerset-county-government,FALSE,2024-08-09T17:00:00.000Z,,
13,Cavy Agility,small-animals,FALSE,2024-08-09T17:00:00.000Z,,
13,Pit Guided Tours,go-kart-track,FALSE,2024-08-09T17:00:00.000Z,,
14,Puppet Show,arts-sciences,FALSE,2024-08-09T18:00:00.000Z,,
14,Poultry Activity,poultry,FALSE,2024-08-09T18:00:00.000Z,,
14,Pool Noodle Pony Craft,horses,FALSE,2024-08-09T18:00:00.000Z,,
14,Frog Toss,herpetology,FALSE,2024-08-09T18:00:00.000Z,,
14,Rabbit Tunnel Races,small-animals,FALSE,2024-08-09T18:00:00.000Z,,
14,Alpaca Agility,show,FALSE,2024-08-09T18:00:00.000Z,,
14:45,Cows Are Great Recyclers,somerset-county-government,FALSE,2024-08-09T18:45:00.000Z,,
15,Costume Contest,small-animals,FALSE,2024-08-09T19:00:00.000Z,,
15,Magicians Guild,arts-sciences,FALSE,2024-08-09T19:00:00.000Z,,
15:30,Butterfly Release,board-of-ag,FALSE,2024-08-09T19:30:00.000Z,,
15:45,Button Making,somerset-county-government,FALSE,2024-08-09T19:45:00.000Z,,
16,Move That Puppet!,arts-sciences,FALSE,2024-08-09T20:00:00.000Z,,
16,Seeing Eye Demo,dog-show,FALSE,2024-08-09T20:00:00.000Z,,
16,Time Trials,go-kart-track,FALSE,2024-08-09T20:00:00.000Z,,
16:30,Twirlers,clover-theater-cafe,TRUE,2024-08-09T20:30:00.000Z,,
16:45,Paper Plate Wreath Making,somerset-county-government,FALSE,2024-08-09T20:45:00.000Z,,
17,Meet The Breeds,dog-show,FALSE,2024-08-09T21:00:00.000Z,,
17:30,Magician,board-of-ag,FALSE,2024-08-09T21:30:00.000Z,,
18:30,Magician,board-of-ag,FALSE,2024-08-09T22:30:00.000Z,,
19:30,Magician,board-of-ag,FALSE,2024-08-09T23:30:00.000Z,,
17:30,Twirl With a Twirler,arts-sciences,TRUE,2024-08-09T21:30:00.000Z,,
18,Round Robin,show,FALSE,2024-08-09T22:00:00.000Z,,
18,Dungeons & Dragons Game Demo,arts-sciences,FALSE,2024-08-09T22:00:00.000Z,,
18:30,Robot Book Markers,somerset-county-government,FALSE,2024-08-09T22:30:00.000Z,,
19,Chinese Culture Club,arts-sciences,FALSE,2024-08-09T23:00:00.000Z,,
20,Chinese Culture Club,arts-sciences,FALSE,2024-08-10T00:00:00.000Z,,
21,Chinese Culture Club,arts-sciences,FALSE,2024-08-10T01:00:00.000Z,,
20,Double Dutch with a 4-Her,cotton-candy,TRUE,2024-08-10T00:00:00.000Z,,
20:30,Agility Demo,dog-show,FALSE,2024-08-10T00:30:00.000Z,,
20:30,Turtle Races,herpetology,FALSE,2024-08-10T00:30:00.000Z,,
11,The Grand Fallons,prep,FALSE,2024-08-09T15:00:00.000Z,,
12:30,The Grand Fallons,prep,FALSE,2024-08-09T16:30:00.000Z,,
13:30,Magician's Guild Magic Show,prep,FALSE,2024-08-09T17:30:00.000Z,,
14:30,Chinese Culture Club Yo-Yo Team,prep,FALSE,2024-08-09T18:30:00.000Z,,
19,"The Clover Ensemble's ""Tangled""",prep,FALSE,2024-08-09T23:00:00.000Z,,
12,Smoothe Demo,clover-theater-cafe,FALSE,2024-08-09T16:00:00.000Z,,
13,Alumni Meet Up,clover-theater-cafe,FALSE,2024-08-09T17:00:00.000Z,,
15,Smokey Bear's 80th Birthday,clover-theater-cafe,FALSE,2024-08-09T19:00:00.000Z,,
16,Sam Tunkel (Original Songs),clover-theater-cafe,FALSE,2024-08-09T20:00:00.000Z,,
117,Melissa Ogden (Country Pop),clover-theater-cafe,FALSE,2024-08-10T01:00:00.000Z,,
18,John Bevacqua (Classic Rock & Pop),clover-theater-cafe,FALSE,2024-08-09T22:00:00.000Z,,
19,Tam Garcia (Alternative & Classic Rock),clover-theater-cafe,FALSE,2024-08-09T23:00:00.000Z,,
20,Tom & Kristine Klimchock (Country,clover-theater-cafe,FALSE,2024-08-10T00:00:00.000Z,,
10,Guillaume Music Academy,showmobile-stage,FALSE,2024-08-09T14:00:00.000Z,,
12,Somerville School of Rock,showmobile-stage,FALSE,2024-08-09T16:00:00.000Z,,
13:30,Ten Ahi Akido,showmobile-stage,FALSE,2024-08-09T17:30:00.000Z,,
14:30,Spare Parts Organ Trio (Jazz),showmobile-stage,FALSE,2024-08-09T18:30:00.000Z,,
16,4-H Got Talent Contest,showmobile-stage,FALSE,2024-08-09T20:00:00.000Z,,
17:30,4-H Got Talent Contest Finale,showmobile-stage,FALSE,2024-08-09T21:30:00.000Z,,
18,Twirling Clovers,showmobile-stage,FALSE,2024-08-09T22:00:00.000Z,,
19,Chinese Culture Club,showmobile-stage,FALSE,2024-08-09T23:00:00.000Z,,
20:30,Society Hill (Alternative Rock),showmobile-stage,FALSE,2024-08-10T00:30:00.000Z,,
18,North Jersey Ghostbusters,,FALSE,2024-08-09T22:00:00.000Z,,
